about,про
above,над
accept,приймати
account,рахунок
across,через
action,дія
activity,діяльність
actually,насправді
add,додавати
address,адреса
administration,адміністрація
admit,визнавати
adult,дорослий
affect,впливати
after,після
again,знову
against,проти
agency,агентство
agent,агент
ago,тому
agree,погоджуватися
agreement,угода
ahead,попереду
air,повітря
all,всі
allow,дозволяти
almost,майже
alone,один
along,вздовж
already,вже
also,також
although,хоча
always,завжди
among,серед
amount,кількість
analysis,аналіз
and,і
animal,тварина
another,інший
answer,відповідь
any,будь-який
anyone,хтось
anything,що-небудь
appear,з'являтися
apply,застосовувати
approach,підхід
area,область
argue,сперечатися
arm,рука
around,навколо
arrive,прибувати
art,мистецтво
article,стаття
artist,художник
ask,питати
assume,припускати
attack,напад
attention,увага
attorney,адвокат
audience,аудиторія
author,автор
authority,влада
available,доступний
avoid,уникати
away,геть
baby,дитина
back,назад
bad,поганий
bag,сумка
ball,м'яч
bank,банк
bar,бар
base,основа
be,бути
beat,бити
beautiful,красивий
because,тому що
become,ставати
bed,ліжко
before,перед
begin,починати
behavior,поведінка
behind,позаду
believe,вірити
benefit,користь
best,найкращий
better,краще
between,між
beyond,за межами
big,великий
bill,рахунок
billion,мільярд
black,чорний
blood,кров
blue,синій
board,дошка
body,тіло
book,книга
born,народжений
both,обидва
box,коробка
boy,хлопчик
break,перерва
bring,приносити
brother,брат
budget,бюджет
build,будувати
building,будівля
business,бізнес
but,але
buy,купувати
call,дзвонити
camera,камера
campaign,кампанія
can,може
cancer,рак
candidate,кандидат
capital,столиця
car,автомобіль
card,картка
care,турбота
career,кар'єра
carry,нести
case,випадок
catch,ловити
cause,причина
cell,клітина
center,центр
central,центральний
century,століття
certain,певний
certainly,звичайно
chair,стілець
challenge,виклик
chance,шанс
change,зміна
character,характер
charge,заряд
check,перевіряти
child,дитина
choice,вибір
choose,вибирати
church,церква
citizen,громадянин
city,місто
civil,цивільний
claim,претензія
class,клас
clear,ясний
clearly,ясно
close,близько
coach,тренер
cold,холодний
collection,колекція
college,коледж
color,колір
come,приходити
commercial,комерційний
common,спільний
community,спільнота
company,компанія
compare,порівнювати
computer,комп'ютер
concern,турбота
condition,умова
conference,конференція
congress,конгрес
consider,розглядати
consumer,споживач
contain,містити
continue,продовжувати
control,контроль
cost,вартість
could,міг
country,країна
couple,пара
course,курс
